d1914a1 d1914a2 2I1M18P2I10P2D1P7I18P1D10P1I1P1D5P1I3P4M3D1I
d1sffa_ d2bwna1 10D5I2M2D2I2M1I2M3I4M8P2I7P4I10P2D2P1M18P1I2P1I2P1I6P1I16P1D1P2D19P1M2P2M15P2M2P1M1D1P1M13D3M8P10D10P1M1D17P1D5P3D26P3M1I11P2I7P1I2P1M4P1D14P1M1P1M1P2I23P2M24P1D8P2D6P1M7D5M10P1I6P1I1P3I1M2P1I9P1D3P1M1P2D15P2D
d1sffa_ d2byla1 2I20P1D55P1D19P1M3D26P4I1P4I25P1D18P10D8P1M4D1M77P1I64P1D1P1D21P1M6D2M20P2D32P2D
d1sffa_ d2c81a_ 31D3P20D5P1M8P1M2P3M6P1M3I1M16P3D21P1M2D3M12P2M2P3M13D3M9P3M1D1I2M1P1D5P2D3P3D2P1M2D1P1D5P1D3P3D2M3P3D23P1D1P1D1P1D1P1D3M1P4M9P3I1P1M11P1I7P1M1I1M4I2P22I4P1M1D18P2D19P1D2P2D1P1D5P1M6I1P1M1P1I9P2M3D2M1D13P1I3P3I4P1M36I2P1I1P1I8P1I20P1M1D1P1M
d1sffa_ d2dkja_ 5D4I1M18D3I2M1P2M4D3P2D2M6P1M1D2P1D1P2D2P1D9P1D2P1D1M7P5I2P2I1P2I2P1I14P1M2D4P1M17P1M2D2M8P2I1M3P4D1P2D3P1D1M2D2M2D1M1D1I1M10P3M2P2M13P8D7P2D2P2D7P2D23P1D2P2M1P2M3P1D2M11P1M1I1M1P1M8P1I7P3M2I1M7P1D17P1M27P1M6P1D9P1M5D1M1D21P1M2I1P6I1P1I8P2M4P6M11P1M20I
d1sffa_ d2e7ja_ 40D6P1M1D2P1D2P1M1P1D11P1D1P12D1M2P2M12P3D21P1M2D2M12P2M3P1D1P1M13D1M1P1M8P2M2P3M1P1I12P1D2P3D12P1D7P3D25P2D2P1D1P1D2M1D2M9P1I1P1I21P1I3P7I4P3M17P2D24P1D4P2I2M3P1D6P1M1P2M3D1M1D1I3M4I4M13P2M2D2I2M5P1M1P1D1P1D19P1M1D1P
d1sffa_ d2epja_ 1I1M15P1M1P2I1P2I3P3I54P3D17P1D1P1D1M46P6M1D1M1P4M1P1I1M10P10D11P2D51P1D44P2I1M1I52P1M15P1M1D3M4I1M2I22P1M1P3D1P1D2M29P1I
d1sffa_ d2ez1a_ 1D21I10M7D2M6P9D1P3D7P1D5P1D2P1D2M10P2D1M1P2D2P3D17P1D1M2D1M20P1M3D3M5P1M5P1M3D2P1M1P1M12D13P1M1P2M6I4M11P1D17P1M29P1D2P1M1P2M1P13I10M8P1I2P2M11P4M1P1M1P2M1P1M2P2I2P4I15P1M2P3M21P2D1P2D1P1M12P1M2P3M2D2I4M12P1I8P1M15I1M12P1I22P23I
d1sffa_ d2f8ja_ 15D13I1M6P1D1M17D1P2M2P2D4P1M1D15P1M1P2M1P2M2D3P1M1D1M12P3M3P2I17P1M1D1P5D10P1M1P3M1D3P8D1M5D1M12P3D1M1D1P2D3P1D1P2D2P5D4P1D9P2D7P2D8P1D11P1D2P1D1P1D3P2D1M1P1M1D4M4I1M6P1I2P1I1P1M18P2M6P1D19P1M2P1I17P1D2P4D3P1M3P1M8P6D2M13P4D8P1D7P3D1P4D1P1D10P2M1D1P1D
d1sffa_ d2fnua_ 39D5P1D3P3D1P2D1P1D16P1M2P1D1P4D17P3D22P5M12P2D1M2P1M1P12D4M9P3M1D1I2M2P1D4P2D4P2D2P3D1P1D7P1D1M3D1M1D1P2M2D22P1D3P1D1P1D1P1D3M1P4M8P1I1P2I1P1M2P1M14P1M1P2M4P17I2P1M18P2D19P1D2P1D1P2D1P1D4P2I1P3I1P1I1P1I9P6D23P1I1P22I33P1D
d1sffa_ d2gb3a1 15D8I3M2I1P2M1P1M1I2M10D2I2M1D1I8M1D1M2P1D1P1M1D15P1M8P1M1D1M10P2M1P1I3M2P2M1I1M19P2M3D1I2M9P1M1P3M3P1M14D1M1P1M1D1P1M8P4M1P2D3P1D5P3D2P2D1M11P2D7P1I22P1D2P1D3P2M1D1I2M2P3M1P1M2I1M6P1I2P2M1I1P1I17P2M6P1M16P1D1P1M3P1D23P1M16P1M4D2M6P4M1I9M5P8I1P1M1I7P3D1M3D18P3I
d1sffa_ d2hoxa_ 25D36I2M1P2M1D4M1P2M2P1M1I1M4I6M4P1M2P2M2P1I1P5M7P2M3P5M1I2M10P1I1P4I1M2P2M22P2M1D6I2M6P1I4P1M1P1M3D1M1P1M1P1M6D1M2D6M6P12D1P2D4P1D2P3D5P1D9P3D5P2D1M1P1D1M1P2D1M1P2D1P1D8P1D1P3M3P1M4D2P2M9P1I2P2M1I1P1I10P1M1P1M4P2M1P1M2P1I2P1M18P1I1P8I30P3M14I12P1D3M1P1M8P1D1P1M7D1M5P5I1P1M7P1M2D1M3D1P2D4M9P2I1P1M
d1sffa_ d2q7wa_ 15D6I4M1D1I2M7D5I2M1P1M8D1M2P2D1P8D14P1M1I1P2M5P1M1D2M2D13P1M2I1P1I2P4I19P5M12P1M1P2M3P1D1P1M13D1M1P1M9P1M1I1P3M10P1D2P4D2P1D2P1D7P2M31P1D2P1D6P2M4P1I1M3P5I6P1I2P1M3P2I9P1M1I1P2I1M2P1I3P1M1I5P2I1P1M14P1I1M2I1P1M2P1I3P1M3P1M15P2I3P2M1P1I5P1M2P1M1P1M3P1M5D2M3P1M2P3M2P8D1M2P2D8P1M8D1M2D10P4M2I
d1sffa_ d2r2na_ 55D52I3M1P3M2P3M2I1M1P1M8P1M1D1M13P2M1P1I4P8I17P5M3D1I3M8P1M1P1M3D1M1P1M1P1M12D12P3M1D2M10P3M1I2M2I4M10P1M31P1D3P1D4P5M1P2M1I1M2P3I1M6P1I2P1M2P1I11P2M1P1M1D1P2M1P2M1P1I14P2M1P2I1P2M2P1I1M24P1I1P1I9P1D8P1D2P1D1M1P1M2P4M1I7M5D2M1P1M1P2I1P7I1P1I1M7P10D1M13P1M6I
d1sffa_ d2rfva_ 63D25I4M1P2D1M1P3M15I1M2P2M17P1M3D21P1M2D2M10P1M1P3M2P1M1P2M10D5M8P10D9P4D1P1D13P1D6P3D21P1D3P4D1M4P1M1D2M9P1I2P1I2P1I1P1I16P2M5P2I1M1P1M18P2D19P1D1P1D2P1D7P16I1M8P3M6D12P1M1D2M2P10I4P16I12P2D3P2D16P1D
d1sffa_ d2z61a_ 14D10I4M1P1I1M1P1M1I2P1M10D1I11M1D1M2P1D1P1M1D18P1M5P1M1D2M2D12P3I2M4P2I19P1M3D3M1P1M3P1I4P1M1P1M3D1M3P12D1M11P7D9P1D2P3D1P1D1M2D1P1D10P1D17P4D8P1D2P1D4P1M1D1I1M3P3M2P2I1M2I6P1I2P1I2M2P1I8P1D7P2M4P1I2P1M15P1I1M4P1M1P1D2M1P2M2P1D14P1D3P1M13P5D10P4M1P1M3D2M1P1M1P2I2P2I1P1M1I7P1M6D2P1D15P
d1sffa_ d2z67a1 57D41I6M1P3M1P29I2M2I8P8I1P2I1P2I14P1I1P1M1I5M3P1M32P1M1P2M4P2M14D1P1M7P2M2P5M2D14P2M12P2D5P1M2D21P1D4P2D2P1D1M4P1M1I3P3I7P1I2P1I18P1M1P2M3P1M3P1M2P1I9P2M1P2M2P1M27P1M6P1D4P1M1P2M9D1M18P2M3I2P1I1P9I6P2M18P6D
d1sffa_ d2zc0a_ 15D15I2M2I1M3P1M1P3M8D10M2P1D5P2M1P2M13P1I2P1I6P3M1P2M7P1M2P1I5P1M1P1M1I16P4M3D1M1D1I1M1P1M3P1I4P1M1P1M3D1M1P1M1P1M6D1M5D1M2P1D1P1M6P3M1D1M17P1M2D1M1P1D6P4M30P1D2P1D4P2M1D1I2M1P4M1P1M4I6P1I14P1M2P2M3P2M4P1I14P3M2I6P2I1P1I21P2D1P1D17P2D1P1D1M1P1M13P3D1M7P7I1P1M8P2D1M3D14P2M2P2I
d1sffa_ d3bc8a1 58D24I2M2D2I2M2I1M29I3M10P2I1M1P2I1M15P4I1P1M1P1M4P1M20P2M1P1I9P1M1P3M3P2M14D1P1M11P4M1P2D11P1D16P2D1P1M3P1M2D21P1D4P1D1P1D1P1D1M4P1M1I3P4I7P1I2P1I1P1M11P1I6P2M1P1D3P1M2P2D13P1I1P1M3P2I27P1M1P1M1P4M9P2M2D4M19P2M15I2P1M7I6P2M24P4I
d1sffa_ d3bn1a_ 39D1M7P4D1P2D1P1D2P1M13P1M2P1D1P3D18P3D21P1M1D3M12P1M1D1M2P1M1P1M13D1M11P3M1D1M1D1M2D9P3D2P2D9P1D2P3D1M1D1P2M2D24P1D1P1D1P1D1M1D3M1P4M9P3I1P1M17P1M1P2M4P15I2P1M18P2D17P1D4P2D7P1M5I3P1I9P1M5D1M1D1M21P22I13P3D15P1M1P1D
d1sffa_ d3doda_ 1D1P2D11P2M2P1I1M2I1M2I1M76P1D1P1M25P6I8P30D12P1M6I10P1M2P2M2D12P1I65P1I17P7I2P1M48P1D23P1M4P1I1M2I20P3D31P1I1P1M2I
d1sffa_ d3dzza_ 24D9I2M1P3M3D1I11M2P2D4P1M1D2P1M14P2M4P3D1P1M1P2D11P3I1M1I1P2M2P1I16P5M4D2I2M8P1M1P3M1D3P8D1M5D1M2P2M8P4M2P1D1P1D8P1M1D2P1M2D1M1P1D9P2D4P1M2P1I22P1D2P1D4P1M1D1I2M2P4M1P4I1M2I6P1I2P2M1I1P1I10P1M1P1M4P2M1P1M2P1I1M1P1M1I20P1D2P1M2P2M36P2M2D1M12P1M1P3D2M4P2I2P2I10P2D1M3D18P2I
d1sffa_ d3euca_ 10D7I1M3D3I1M3I1M1P1I1M3P1M2P1D1P9D1P3D7P2D4P1M2P4M1P2M10P2M6D2I1M2P1M12P2M21P1M1D1P1M1D3M11P4M3P1D1P13D1M2P1D10P3M12P4D1P4D12P1D19P2I2M8P1D4P2D1M1P1D2M1P4M1I2M1I1M6P1M2P1M1P1I17P3M5P1D16P1M3P1I20P3D2P1D16P11D19P2I3P2I1M8P2D2P1D15P2D1P1D
d1sffa_ d3ezsa_ 15D5I2M1I1M1P4M17D9I6M1D1M2P1D1P1M1D18P2M4P1M1D1M1P2M8P1M1P2M1P1M1P1M2P2I17P1M2P1M1D4M12P2D1M2P1M1P12D2M11P1D3P2M1P2D2P1D6P1M2D1P1D1M2D1P1D9P1D30P1D2P1D4P3M3P3M2P7I1M2I6P1I2P2M1I3P1I15P1M26P2M2P2M1P2M11P2D1P6D1M15P6D9P4M1D1P2D3M1P1M1P2I2P4I1P1M1I7P1M2D1P4D13P4M
d1sffa_ d3ffha_ 16D12I2M1D1M1D2M2P2M7D5M7P2D4P2M1P1D2M9P1M1P1M1D1M3P1D1P7D11P1M1D4M17P2M1D1P1M3D2I3M8P1M1P3D2M3P12D1M9P1M4P1M1D1M1D1M1D1M9P4D1P2D12P1D18P1D11P1D2P1D4P2M1D2M1P5M2I1M2I6P1I2P1I1P1M18P2M1D22P1D3P1D2P1M6P1D22P1D8P8D3P1D18P2I11P1M6D2P1D14P1D
d1sffa_ d3ftba_ 41D5P2D2P1D2P1M3P1M7P1M6P2M1P1M2P2D1M3D12P1M1D2M18P1M2D1P4D1M10P1M1P1M3D1M1P1M1P12D2M13P3M7P1D2P2D1P3D1P1D1M2D1P1D9P1D30P1D2P1D5P2M3P1D2M2P4I1M6P1I2P1I1P1M2P1I9P1M3P1M2P1M1D1M4P2M16P1M2P1M1P1I19P2D2P1D16P1D1P1M8D1M19P2I2P2I10P2D1P1D17P1D1P1D
d1sffa_ d3fvsa_ 14D12I3M2P1M1P4M14D2I1M1D7M1P4M1P3M11P1M6P1M2P1M1D1M10P1M2P1M1D6P4I16P5M3D1I1M10P1M1P3D2M3P12D3M12P2M7I1M1I4M9P3D2P2D12P1D30P1D2P1D3P1M1I3M3P3M1P2I2M2I6P1I3P1M1I1P1I9P1D5P1M1P2M1P1M2P1I2P1M15P1M1P1M1I1P4I22P1M2P1D9P1M9P4M1I1M9I2M1P2M2P8M4D1M5P11I1P1M5P1M1P1M6D2P1D14P1I1P1I
d1sffa_ d3k40a_ 30I2M4P4M16D19I2M5D2I2M2P3M1I1M5P2M4P3D1P1D19P1M4P1M11P2I2P1I1M1I5P7I25P2I1M15I12P2M2P1M1D2M13D2M10P1M3D1M1D1M2D13P1M1I2M12P1D6P3D26P1D2M1P5M5P2I7P1I2P1I2M11P2D5P4D2M3D1M3P1D11P1M1P2M29P1M5P1D5P1M2P4D1M1D1P1M3P1M2P1M3P1M11P1I1P1I33P2I
d1sffa_ d3k7ya_ 12D8I4M1P1M2I5P3M9D12M2P4M2I1M11P2M1P2M1I1P3M4P1M1D2M2D13P1M2I4P4I1P1I14P6M1D4M9P1M1P3M1D3P8D1M5D1M11P1M1I1P3M13P5D2P1D1P1D7P1M32P2D6P1I2P1M1I3P3M2P1M5I6P1I4P1I2P1I11P1M2I1M1P1M7P2I1P3I1P1M11P2M1P3I3M3P1I23P1I1P5I2P1M1P1I4P2M8P8D8P2M1P1M1P5D1M2P1M3D7P1M7D1M12P1M2P1I2M1I
d1sffa_ d3l44a_ 5I1M15P1I1M1I2P2I2P6I1M54P3D19P2D1M45P1M1D1I4M2D1P4M1P1I1M10P10D11P1D1P1D49P1D45P2I1M1I25P1M42P2D1P2M5I1M2I1M21P1M1P3D1P1D1P1M29P1I
d1sffa_ d3pdxa_ 18D4M17D4I6M3P6M2P1M13P1I1P2M5P3M1P2M10P1M1D1M5P2I19P2M3D1I2M9P1M1P3M1D3P8D1M5D1M2P1D10P4M1P2D9P3D2P2D1M12P1D2P2M25P1D2P1D4P1M1I3M2P3M2P3I1M6P1I2P2M1I2P1I10P2I1M1I1P1M1P1I3P1M1I5P1I10P1M2P1M3P2M5P1D18P1M21P5M2I2M6P8M3D4M1P2I1P1I2P1M7P1M6D2P1D13P1I1P1M2I
d1sffa_ d3piua_ 15D2I4M5P2M7D1M1P10M1P1M5P1M1P4M2P2M1P4M4P7I1P2I2M1P1M2P3M1P2M11P2M2I1M1P1M2P2I19P2M3D1I2M9P1M1P4M2P1M14D2M12P3M1I1M10P7M2D1M8P1M2P1M1D5M24P1D4P2M1P3M3P3M1P1M6I1M6P1I6P1I12P2M3P2M4P2M7P1I1P3M1P1M2I1M1I1P2M2P1I22P5D1P1M6P1I1M7P1M1P3M2P2I14P4D1M6P1M5I1M8P3M1P1D3M15P1D
d1sfla_ d1sgja_ 3I9P1I4P2M1P1D6P2D9P2I1P1M4I1P1I2P1M12P3I10P1M9D1M1P1M10P1D11P1M1P1D1M1D1M1P1M8P1M2I1M11P4D1M3D2M11P1I9P9I2P1I1M25P4M5I3M4P1M14P7D1M6P1D2P1M1D1M
d1sfla_ d1thfd_ 2I10P2I2P10I3P4I1P3M1P2M13P1M1I2P1I2P1I1M8P1M3P1D6P1D2P8D1M1D1P2D11P1D9P2M15P2D1M9P2D3P2I1P2M12I23P1M1D4I1M1D1I1M11P3D8P1D2P6M15P1I1M3P1M3D3M2P1M6P1I1P1I1P7I
d1sfla_ d1tqja_ 1I9P1I4M10P1I11P7I2P1M1D1P1D1P1D2P1M8P1D9P10D2P1D11P1D11P1M1I3P2D21P3D1P1M4D6P1M2P1M1D9P1M3I4M1D1P1M14P1I5P1M1P1M2P2M1D1I1M1P1D15P2I3P1M6D2I2M8P2M2I
d1sfla_ d1twda_ 1D9P1M1D1M1D1P2M2P1M2P2D10P1M3I4M1P1D12P1D8P1I3P2M4D4I1M16P1D11P3I1M13P2D9P2M2D2M2D1M21P1M1P4M12P2D9P1D2P4M1P1D15P1M2P1M12I1M4D4I1M10P1I1P1M2I
d1sfla_ d1tx2a_ 17I8P1I3P6I1P5I12P1I11P1I1M1I2P2I1P1M1P1M10P2I9P1M14D11P1D9P2M1D1P1M2D1M1P1D18P5M1P2I14P1I2P7I1M8P3I1M2P1D1M7P1D5P1D9P1M2I1P1I2P2I1P10I1M1P1I17P10D12P6I
d1sfla_ d1tzza1 4I1M9P1I2P3I1M10P2D9P1D5P1I3P1I20P6D1P1D16P1D8P1M1I5P1M2D9P3D1P1D7P2D1M2P1D11P1D4P1I7P1M1P2M1D10P2M1P3M2P1M1I5P1M1P2M2D22P1D3M2P1M3I1M1P1M2I1M4P3M20I
d1sfla_ d1u5ha_ 3I1P2I1M7P1M2P2M1P2M2P1M2D1P1D1M9P2I2P1I1P1M2P1D2M1P1M2P1M5P2M6P2M9D1M24P1M1P1D1M1D1M1P1D6P2D1P3D8P1M4D1M3D3M10P1I8P11I3P3I1P2M1P1I2M2P1M17P4M4I2M1P1I19P7D1M10P1D1P
d1sfla_ d1ub3a_ 1M2I1M7P3I4P1M3P1M3P1M1I11P5D1M3D1M9P1I14P4D4M13P1D10P3I1P3I1P2I1P1M2P1M9P2D10P2D1P1M24P3I1M1P2M3D1M11P1M1D9P1D2P6M15P10D6P1M5D
d1sfla_ d1vcva1 1M1I1M7P3I2P1M9P1M1I11P5D1M4D2M20P1M4D2M15P2D9P3I1P3I1P2I1P1M12P2D11P1D1P1M2P1D1M20P3I1M4I1M4I2P2M1D1M1P1M12P1I8P1M2P6M6P1I1P1I1P5I1M6P10D5P1D1P5D
d1sfla_ d1vd6a_ 8P7I3P1D1M2P2M5P1D1P1D9P1D2M1P1I1M2P1M28I8P1M1P2I11P6D3M14P1M1P2M7P1M2D1P3D1M10P2D9P9D1P2D16P1M7D1P1D1M19P1D3M1D2M17P10D7P1D2P1M1D
d1sfla_ d1vhca_ 11I3P1I7P1I2P3M8P1I13P1M1D1M1D1M1D1P2M4P1M3P1M7P2M13D11P1D10P2D1P1D1P1D9P1D1P2D7P10D1M13P1M6P1M1P1M2D1M8P1M2P2M3P2D5P1M1P2M1D1M2P1D7P1I8P1I3P2M4D11I1M11P1D
d1sfla_ d1viza_ 6I11P3M8P1I10P1D1P4D2P1D2M9P1I8P2M14D1P1D2P2D1M1P1D1M11P1I5P2I2M1P2M1P3M3I1M1I2M1P1I13P1M11I1M25P4M2D1M12P2D10P2M2D2I1M1P1D14P2M3P1M3D2M11P1M
d1sfla_ d1vqta1 1D8P2M2D1M9P1M1D8P3M2D1M3D1M9P1I1M9P1M9D1M2P1I2M1P1I7P1D12P2D14P3D11P2M5P1M12P1D5P11D2P1D16P2M1D1M1D2P1D7P1M8P8D3P1M4I1P2I1P2M1P2M1P2D
d1sfla_ d1w0ma_ 2I8P5I3P1M2I1M2P2M7P1I1P1I8P1M4D1P3D1M6P1D3P1D7P2M11D6I3M1D9P1M8P2M1D2I1M24P1M10D20P1I1P1M4I1M1I3M12P1M2P1I1P1I9P2M1D2M15P5M2P1M2D2I1M1I1M12P
d1sfla_ d1wa3a_ 6I1P1I1M8P1I2P3I1M2P2M5P1D1P1D11P2D1P1M1P1D7P1M2P1I9P2M13D11P1D10P2D1M1D1P1D10P3D7P1M10D13P1M6P1M1P1M3D11P2M3P2D5P1M1P2M1D1M2P1D14P3I4P1M5D5I1M12P
d1sfla_ d1wbha1 12I1P1I9P1I3P2M8P1I13P1M1D1M1D1M1D1P2M4P1M11P2M13D11P1D9P1M2D1P1D1P1D9P2D1P1D7P1M10D13P1M6P1M1P1M2D1M8P1M2P2M3P2D5P1M1P2M1D1M2P1D7P1I7P1I4P2M4D11I1M11P1D
d1sfla_ d1x7fa2 1I11P3I1M11P1I11P2D1P2D1M1D2M6P1M13P6D1M2P3D1P1D1P1M1D1M6P1M10P2D12P2D9P2M9D1M4P1M2P3M2I1M1I1P1I7P2M2I5M10P1M2P1D8P1M17I1M1P2M2P1M5I2M6P1I8P1I3P2M5D1I1M8P1D1P2M
d1sfla_ d1xi3a_ 3I1P1I1M7P1M3I3M2P1M6P2D10P1D5P1I1M8P1M3P2I8P19D7P1M9P1M2D2M2D9P1D1P1D8P1M10D20P1M1P1M3D3I2M1D1M21P2M1D2M1P1D14P1M1I1M3P1M4D4I1M12P2I
d1sfla_ d1xm3a_ 1I1P9I1M7P2M1D1M7P1M4P1I9P1D1P2D1M2D1M1P1M2D5M11P7D1P3M23P1M9I4P4M9P4D7P5D1M4D21P1M2I1M1I3M12P3D8P1M1P1M1P1D2M17P1M1I3P1M4D4I1M11P2I1P20I
d1sfla_ d1yeya1 2M5P1I2P1M1P1M1P2I9P1D1P1D9P2D4P1I13P1I10P6D1M1D3M11P1D10P1M1P2M1P1M1P1D1M9P2D2P1D7P3D1M1P4D9P1I2P1M7P1M1P2M3D23P1M1I1M2P2M10P4I1P2I1M2I6P1D2P5M2I3M2P2M4P2M1D29I
d1sfla_ d1yx1a1 1M7P1M6I2P2I1P1I2M8P1D1P1D11P2M1P2D1M10P1I11P1D2M6D6I1M2P1D8P2M1P1M10P1I2P2I1M12P2D1P1D1P1D9P1M2I1M2P1D11P1I1P1M8P2I3P4M10P1D1P1M5D3P4M2P1M11I1M3I2P1I1M3P1M5P2I6P1I1M2P1M5D5I1M1P1M10P1I
d1sfla_ d1yxya1 11I9P7I1M1P2I2P1M9P1I10P7D1M1D1P2M8P1D10P4I1P1M1D1M1D1M1D1M1D1P2D12P1D10P1I2P3I1P2I11P1D1P1D9P10D19P1I2P5I1M2P1M1D2M2D12P1D6P1M1P2M1D3M16P2I4P1M1P4M12D6I
d1sfla_ d2a4aa1 9I2M2I7P3I2P1M1P1M3P1M5P3I10P5D1M3D1M9P5I14P4D4M13P1D10P3I1P6I1P2I1P1M2P1M9P2D9P2M1D1P1M24P3I1M2P1M3D1M11P1M1P1M1I1P5I1P3I6P1D2P6M8P6I1M6P9D6P3M1D1M2D1I
d1sfla_ d2czda_ 2D7P1I25P2M1P1D1M2D1M2P1D6P1I1P1I10P1M9D1M2P1I2M1P1I9P1D10P2D10P1D2P4D7P1I4P1I3M1D2I3M19P1M2P5D2P1D8P1M1D9P1D1P1M1P5M15P2I3P1M6D5I10P2D
d1sfla_ d2f6ua1 4I1M10P3M11P1I9P1M1P1M1D2P1D2M9P1I10P14D1P1D2P2D1P1M1D12P2I4P1M1I6M1I2M9I1M1P1I1M3P1I12P11I2M14P1I11P4M2D1M11P2D9P1M1P2M1D4M15P1M3P1M3D1I2M6P2D1P3D
d1sfla_ d2gdqa1 4I1M9P6I2P3I10P1D3P1D7P1D1P2D14P4I11P8D1P3D13P2I1P1I1M1P1I4P4M1D13P3D9P1M4D1P4D9P1I12P2M2D1M13P1D9P1M1I1M15P10I1M10P3M1I2M1I2M2P2M3P3M1D23I
d1sfla_ d2mnra1 1M8P1I3P3I1M10P2D9P1D5P1I11P1I12P6D1P1D2P1M13P1D8P1I1M4P1D1P1D1M9P3D1P1D7P3D1M1P3D9P1M2P1M7P1M1P1M3D1M23P1D2P2D1M11P1I7P3D1P1D2P2M3I1M1I2M1P1M1I1M3P3M1D18I
d1sfla_ d2tpsa_ 14I1P1I9P1M1D3I1M9P1I13P1I3M2P1D1M9P1I1P2I1P2I8P19D17P1M2D2M2D1M8P1D1P1D8P1M10D20P3M2D9I1M11P1M1D3P1D6P1D2P4M1P1D14P2I4P1M5D4I1M12P4I
d1sfla_ d2y88a_ 1P1I8P1M2I1P18I2M2P2M6P2D10P1M3I1M2P1M9P1D3P1D7P1D1M12D1M2P1I9P1D9P2M15P3D1M8P1D2P2M1P2M12I2M19P1I1P1M2D4I1M1D1I1M11P3D8P1M1P1M1P1D4M7P2I1P1I7P1M1I3P1M3D2M11P1D
d1sfla_ d2ycix_ 8I7P1I2P5I2P2I1P5I10P1I30P2I9P1D1P13D13P1I1M9P1D2P2D1M19P2M1D2I3M17P4I1M4I8P1I1P1I3M17P2I6P1I1P1I1M2P5I1P2I2M18P1M9D12P20I
d1sfla_ d2yr1a_ 18I10P1I2P3I1M10P2D14P1I12P1I1P2I19P1I27P2D3P1D108P2M14P1I2P4I
d1sfla_ d2yyua_ 1M10P1M10P4M8P3M1D1M3D1M8P1I11P1M9D1M2P1I2M1P1I9P1D10P2D14P1M1I1P5I8P1I5P1M11I1M22P1M11D1M1P1D6P1M2I9P5M1I3P1M15P2I1M2P1M6D2I3M1P2M5P1I1P
d1sfla_ d3bofa1 13I7P1I2P6I1P3I1P2I1P2I12P1I15P1M12P1M2I9P14D13P1M1I8P2D1P1D1P2M19P2M1D1I3M15P1I1P5I1P1I9P1I1P4M15P1D7P1M2I2P5I1P2I1P1M18P2M8D1P1D10P9I
d1sfla_ d3ctla_ 1D8P1I3M22P7I2P1M1D1P1D1P1D2P1M8P1D9P10D2P1D11P1D10P1D1M3P1D22P4D1M3D1M4P1M1P2M1P1M1D10P8I3M2D1P1M14P1I7P1M2P1I1M1I1M5P1D1P2D2M8P3I3P1M6D6I2M7P1D1P1M
d1sfla_ d3f4wa_ 1D8P1I26P1M1P2M2P1D20P1M10D2P3M9P1D10P2D26P3D2M3D21P3I2M1I3M1D3M9P1M2D8P1D1P3M1D1I1M1P1D15P2I3P1M5D4I1M12P1I
d1sfla_ d3igsa_ 11I1P3I1M7P7I4P2M7P1I11P7D1M1D1P2M8P1D10P4I1P1M1D1M1D1M1D1M1D1P2D11P1D12P4M20P1M10D19P1I2P5I1M1P2M2D1M2D12P1D6P1M1P2M1D2M17P2I4P1M1P1M1D1I2M12D10I
d1sfla_ d3no3a_ 3I8P1M1I1M2D2I1M2P4I2P1M4P1I12P9I1P2I1M6I2P2I2M1D14I1M10P2I11P7D1M15P1I1P3I3P2I6P2M2D1M3D2M1P1M6P2D9P10D1M1D1M18P1M4D1M1P1D2P1D17P4M2D1M17P10D12P2I
d1sfla_ d3nz1a_ 39I1P4I8P2M7I2M22P2M1I4M1D1P2M8P1D7P1D1P10D1M2D8P1M2P1M10P1D1M25P10D21P1M4D6I1M13P2D7P1M1P2M1D3M16P2I3P1M4D2M8P2D1M1D
d1sfla_ d3o6ca_ 1I9P2I1P3I1P4I1M1I1M8P1M12P1I1M1P5M1D1P1M5P1M3P1D7P1M11D1M2D12P1D7P12I6P2D21P5D1M4D20P1I2P2I1P28I16P1D9P1M1P2M1I1M7P2D10P2I3P2M4D6I1M10P1D1P
d1sfla_ d3oexa_ 12I1P1I10P1I1P3I10P2D15P1I13P3I46P2D75P1I37P2M16P3I
d1sfla_ d3ovpa_ 9P2I1M1P1M1P2M1P2M2P2M12P7I2P1M1D1P1D12P2M9P10D2P1D11P1D10P1D1M3P2D21P4D1M3D1M9P1M1D10P1M5I3M1D1M1P1D13P1I1M6P1M1P2M1D1M2P1D2P1M12P2I3P1M5D1I3M9P2I1P5I
d1sfla_ d3s1wa_ 1D9P2D1M2P2M5P1D9P1M2I2P2I1P1M1D2I4M1P2M3P1M1D2P1M1D7P2M8D1P1M1P1I24P1D2P1M10P1D1P3D9P9D20P2I2P1I2P1D1M2P1M12P1I3P1I5P4M2D1M19P7D1P1D4P3M4D25I
d1sfla_ d3sj3a_ 4I1M1I1M7P1I2P1M22P5M3D2P1D7P2I10P1M1D1M7D2M1I1M1P2M9P1D10P1D2P1D24P1I2P1I1P2M1I4M19P2M6D11P1M1D1P1M7P5M3P1D7P1D7P2I3P1M5D4I1M12P1I
d1sfna_ d1sq4a_ 1D11I4M18P3I6P1M11P1D1M5P1I15P2I4P2I42P2I38P1I12P1I21P1M1P1M62P4I
d1sfna_ d1tq5a1 13D13P1M3D2M9P5I1M2P3M2P2I14P2I4P1I16P1I17P2I9P3I14P2M2D3M7P1D1P2M9D1M9P1M6I1M2P1I15P4M17P4D13P1M1P2M7P1D1P1D8P1M3D2M
d1sfna_ d1xrua1 7D16I2M2P2M1D1M5P2D3M7D1M5P1D4P3D19P11I2P2I16P2M18P1M4P1I3P2I1P1I11P5D9P2M5P3M2I1M1I1M10P1M1I1M2P1I10P1I4P1I8P1I10P4I7P4I26P2D9P2M1P2M1D12I
